스타일대분류,스타일소분류,맥주명,양조장명,제조국가명,도수,평균점수,리뷰수,평가수,현재상태,Full Name,Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
Bocks,Bock,Shiner Bock,Spoetzl Brewery,United States,4.5,3.21,"1,218","3,288",Active,Shiner Bock Spoetzl Brewery,0,47,29,5,33,98,162,0,160,38,5
Bocks,Bock,Samuel Adams Chocolate Bock,Boston Beer Company (Samuel Adams),United States,5.8,3.64,"1,243","1,892",Active,Samuel Adams Chocolate Bock Boston Beer Company (Samuel Adams),9,30,10,15,23,5,0,14,13,2,36
Bocks,Bock,Michelob AmberBock,Anheuser-Busch,United States,5.2,2.91,724,"1,228",Active,Michelob AmberBock Anheuser-Busch,2,61,1,22,71,8,0,25,11,3,72
Bocks,Bock,Samuel Adams Cherry Chocolate Bock,Boston Beer Company (Samuel Adams),United States,5.8,3.46,188,686,Active,Samuel Adams Cherry Chocolate Bock Boston Beer Company (Samuel Adams),7,28,5,13,20,6,0,7,12,1,58
Bocks,Bock,St. Nikolaus Bock Bier,Pennsylvania Brewing Company,United States,6,3.94,225,218,Active,St. Nikolaus Bock Bier Pennsylvania Brewing Company,7,78,18,19,91,15,0,66,13,3,88
Bocks,Bock,Spring Bock,Saint Arnold Brewing Company,United States,6.9,3.63,160,257,Active,Spring Bock Saint Arnold Brewing Company,17,35,7,21,30,9,0,10,15,16,64
Bocks,Bock,Pandora's Bock,Breckenridge Brewery,United States,7.5,3.43,155,230,Active,Pandora's Bock Breckenridge Brewery,9,32,21,27,37,10,0,21,35,3,65
Bocks,Bock,Genesee Spring Bock,Genesee Brewing Co. / Dundee Brewing Co.,United States,5.2,3.47,169,184,Active,Genesee Spring Bock Genesee Brewing Co. / Dundee Brewing Co.,7,37,13,28,59,20,0,34,38,11,79
Bocks,Bock,Ur-Bock Dunkel,Einbecker Brauhaus,Germany,6.5,3.72,200,125,Active,Ur-Bock Dunkel Einbecker Brauhaus,8,33,6,13,35,10,0,11,22,3,53
Bocks,Bock,La Trappe Bockbier,Bierbrouwerij De Koningshoeven B.V.,Netherlands,7,3.98,124,180,Active,La Trappe Bockbier Bierbrouwerij De Koningshoeven B.V.,9,28,17,33,45,12,0,19,36,6,74
Bocks,Bock,Christmas Bock,Mahr's Bräu,Germany,6,3.68,180,69,Active,Christmas Bock Mahr's Bräu,4,52,10,19,53,15,0,28,23,12,79
Bocks,Bock,Schell's Bock,August Schell Brewing Company,United States,6.5,3.85,98,129,Active,Schell's Bock August Schell Brewing Company,21,45,14,36,51,15,1,21,47,28,80
Bocks,Bock,Noche Buena,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Mexico,5.9,3.35,95,130,Active,"Noche Buena Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",14,59,19,17,81,20,2,44,37,5,143
Bocks,Bock,Samuel Adams Toasted Caramel Bock,Boston Beer Company (Samuel Adams),United States,5.8,3.63,68,139,Active,Samuel Adams Toasted Caramel Bock Boston Beer Company (Samuel Adams),9,36,6,16,45,6,0,13,22,6,58
Bocks,Bock,Schokolade Bock,Millstream Brewing Company,United States,6,3.98,109,78,Active,Schokolade Bock Millstream Brewing Company,11,42,25,24,103,7,0,8,19,16,103
Bocks,Bock,Creemore Springs UrBock,Creemore Springs Brewery Limited,Canada,6,3.65,96,70,Active,Creemore Springs UrBock Creemore Springs Brewery Limited,9,57,3,26,63,6,0,10,17,2,96
Bocks,Bock,Holsten Festbock,Holsten-Brauerei,Germany,7,3.3,81,52,Active,Holsten Festbock Holsten-Brauerei,15,42,6,19,56,12,1,27,25,8,90
Bocks,Bock,Samuel Adams Winter Lager,Boston Beer Company (Samuel Adams),United States,5.6,3.67,41,77,Active,Samuel Adams Winter Lager Boston Beer Company (Samuel Adams),2,48,31,33,73,27,0,37,25,3,77
Bocks,Bock,Huber Bock Beer,Minhas Craft Brewery,United States,5.5,3.17,69,46,Active,Huber Bock Beer Minhas Craft Brewery,7,28,20,31,30,15,0,21,27,41,69
Bocks,Bock,Koźlak,Browar Amber,Poland,6.5,3.6,67,46,Active,Koźlak Browar Amber,2,32,1,20,43,10,0,7,9,5,59
Bocks,Bock,Toasted Bock,Jacob Leinenkugel Brewing Company,United States,5.1,3.64,50,56,Active,Toasted Bock Jacob Leinenkugel Brewing Company,7,22,9,17,60,14,0,26,18,9,79
Bocks,Bock,Bockslider Toadies Texas Bock,Martin House Brewing Company,United States,5.6,3.75,22,71,Active,Bockslider Toadies Texas Bock Martin House Brewing Company,13,32,3,17,40,8,0,15,12,1,55
Bocks,Bock,Love Honey,Lost Forty Brewing,United States,6.3,3.83,22,68,Active,Love Honey Lost Forty Brewing,10,36,7,19,30,9,0,14,14,1,57
Bocks,Bock,Crawford Bock,Karbach Brewing Co.,United States,4.5,3.48,24,61,Active,Crawford Bock Karbach Brewing Co.,9,33,9,20,60,2,0,7,41,4,95
Bocks,Bock,Bokbier,Jopen Bier BV Haarlem,Netherlands,6.5,3.79,53,28,Active,Bokbier Jopen Bier BV Haarlem,14,28,6,12,35,5,0,12,13,0,69
Bocks,Bock,Mönchshof Bockbier,Kulmbacher Brauerei AG,Germany,6.9,3.74,41,35,Active,Mönchshof Bockbier Kulmbacher Brauerei AG,14,39,13,29,56,22,2,26,20,11,98
Bocks,Bock,Battlefield Bock,Red Oak Brewery,United States,6.5,3.9,20,55,Active,Battlefield Bock Red Oak Brewery,9,34,16,21,59,24,3,36,27,2,65
Bocks,Bock,Chouffe-Bok 6666,Brasserie d'Achouffe,Belgium,6.66,3.76,33,40,Active,Chouffe-Bok 6666 Brasserie d'Achouffe,9,67,7,40,54,7,0,10,21,9,73
Bocks,Bock,Christoffel Bokbier,Bierbrouwerij Sint Christoffel B.V,Netherlands,7.8,3.55,51,17,Active,Christoffel Bokbier Bierbrouwerij Sint Christoffel B.V,10,43,9,33,71,35,0,42,28,22,94
Bocks,Bock,Aass Bock,Aass Brewery,Norway,6.5,3.99,41,26,Active,Aass Bock Aass Brewery,8,50,14,20,87,24,0,47,26,5,85
Bocks,Bock,Flensburger Winterbock,Flensburger Brauerei,Germany,7,3.63,36,29,Active,Flensburger Winterbock Flensburger Brauerei,5,37,11,18,62,14,0,24,20,4,62
Bocks,Bock,Zywiec Bock,Zywiec Breweries PLC (Heineken),Poland,6.5,3.75,25,36,Active,Zywiec Bock Zywiec Breweries PLC (Heineken),22,45,23,28,56,15,0,24,33,21,83
Bocks,Bock,Dreher Bak,Dreher Brewery,Hungary,7.3,3.71,33,23,Active,Dreher Bak Dreher Brewery,14,41,20,31,78,15,1,29,27,7,97
Bocks,Bock,Bock De Joliette,Micro-Brasserie L'Alchimiste,Canada,6.1,3.34,26,29,Active,Bock De Joliette Micro-Brasserie L'Alchimiste,3,47,10,26,40,5,0,11,21,6,62
Bocks,Bock,Moza Bock Beer,"Cervecería Centro Americana, S.A.",Guatemala,5,3.08,28,24,Active,"Moza Bock Beer Cervecería Centro Americana, S.A.",6,25,13,17,43,21,0,26,19,1,47
Bocks,Bock,Broegel Bock Beer,Brouwerij Martens NV,Belgium,5,3.33,26,24,Active,Broegel Bock Beer Brouwerij Martens NV,4,37,3,16,43,6,0,12,17,6,51
Bocks,Bock,Grolsch Herfstbok,Grolsch Bierbrouwerij N.V.,Netherlands,6.5,3.22,19,29,Active,Grolsch Herfstbok Grolsch Bierbrouwerij N.V.,8,25,4,22,19,7,0,6,32,4,41
Bocks,Bock,Dinkel Bock,Apostelbräu,Germany,6.8,3.65,21,27,Active,Dinkel Bock Apostelbräu,6,39,20,15,93,15,1,25,13,6,68
Bocks,Doppelbock,Ayinger Celebrator,Ayinger Privatbrauerei,Germany,6.7,4.34,"2,580","4,413",Active,Ayinger Celebrator Ayinger Privatbrauerei,32,49,34,49,60,63,2,63,53,22,108
Bocks,Doppelbock,Troegenator,Tröegs Brewing Company,United States,8.2,3.95,"1,227","2,296",Active,Troegenator Tröegs Brewing Company,5,48,11,20,60,10,1,28,9,5,113
Bocks,Doppelbock,Spaten Optimator,Spaten-Franziskaner-Bräu,Germany,7.6,3.9,"1,411","1,864",Active,Spaten Optimator Spaten-Franziskaner-Bräu,7,33,15,18,62,12,0,29,10,5,82
Bocks,Doppelbock,Salvator,Paulaner Brauerei,Germany,7.9,3.93,"1,483","1,577",Active,Salvator Paulaner Brauerei,7,54,8,23,53,13,2,19,26,2,76
Bocks,Doppelbock,Weihenstephaner Korbinian,Bayerische Staatsbrauerei Weihenstephan,Germany,7.4,4.2,"1,359","1,621",Active,Weihenstephaner Korbinian Bayerische Staatsbrauerei Weihenstephan,17,63,23,24,93,21,0,36,25,6,108
Bocks,Doppelbock,Samichlaus Classic,Brauerei Schloss Eggenberg,Austria,14,4.02,"1,186","1,054",Active,Samichlaus Classic Brauerei Schloss Eggenberg,5,74,13,15,53,9,0,24,6,4,92
Bocks,Doppelbock,Samuel Adams Double Bock (Imperial Series),Boston Beer Company (Samuel Adams),United States,9.5,3.92,"1,114",835,Active,Samuel Adams Double Bock (Imperial Series) Boston Beer Company (Samuel Adams),2,47,33,10,84,16,0,49,3,8,65
Bocks,Doppelbock,Consecrator,Bell's Brewery - Eccentric Café & General Store,United States,8,3.83,696,841,Active,Consecrator Bell's Brewery - Eccentric Café & General Store,4,30,27,18,69,21,1,39,12,12,69
Bocks,Doppelbock,Doppelbock Dunkel,Klosterbrauerei Andechs,Germany,7.1,4.28,552,771,Active,Doppelbock Dunkel Klosterbrauerei Andechs,4,51,22,23,73,15,0,33,29,6,91
Bocks,Doppelbock,Birra Moretti La Rossa,Birra Moretti (Heineken),Italy,7.2,3.63,486,602,Active,Birra Moretti La Rossa Birra Moretti (Heineken),5,52,14,35,80,17,0,40,27,21,92
Bocks,Doppelbock,Perkulator Coffee Dopplebock,Dark Horse Brewing Company,United States,7,3.72,446,585,Active,Perkulator Coffee Dopplebock Dark Horse Brewing Company,7,36,16,15,38,11,0,22,17,5,57
Bocks,Doppelbock,EKU 28,Kulmbacher Brauerei AG,Germany,11,3.95,479,278,Active,EKU 28 Kulmbacher Brauerei AG,6,45,11,91,34,9,1,12,19,16,127
Bocks,Doppelbock,Maximator,Augustiner-Bräu,Germany,7.5,3.94,373,366,Active,Maximator Augustiner-Bräu,11,25,44,21,62,9,1,20,16,1,49
Bocks,Doppelbock,Weltenburger Kloster Asam-Bock,Klosterbrauerei Weltenburg,Germany,6.9,4.1,364,249,Active,Weltenburger Kloster Asam-Bock Klosterbrauerei Weltenburg,4,39,23,15,72,13,2,41,20,6,79
Bocks,Doppelbock,Autumnal Fire,Capital Brewery,United States,7.8,4.05,344,266,Active,Autumnal Fire Capital Brewery,8,59,9,36,96,14,0,47,39,0,121
Bocks,Doppelbock,Butthead Doppelbock,Tommyknocker Brewery,United States,8.2,3.66,382,226,Active,Butthead Doppelbock Tommyknocker Brewery,6,64,24,21,83,22,0,46,27,7,99
Bocks,Doppelbock,St. Victorious,Victory Brewing Company - Downingtown,United States,7.6,4.06,378,202,Active,St. Victorious Victory Brewing Company - Downingtown,5,34,17,6,53,13,3,32,4,5,48
Bocks,Doppelbock,Urbock 23°,Brauerei Schloss Eggenberg,Austria,9.6,3.6,313,163,Active,Urbock 23° Brauerei Schloss Eggenberg,7,61,13,29,85,24,0,39,24,19,113
Bocks,Doppelbock,Samichlaus Helles,Brauerei Schloss Eggenberg,Austria,14,3.8,261,202,Active,Samichlaus Helles Brauerei Schloss Eggenberg,6,46,50,20,80,15,0,24,29,14,63
Bocks,Doppelbock,Doppel-Hirsch,Der HirschBrau/Privatbrauerei Höss,Germany,7.2,3.85,241,143,Active,Doppel-Hirsch Der HirschBrau/Privatbrauerei Höss,7,32,41,11,65,10,0,38,9,10,44
Bocks,Doppelbock,Josephs Brau Winter Ride,Trader Joe's Brewing Company,United States,7.5,3.59,223,139,Active,Josephs Brau Winter Ride Trader Joe's Brewing Company,8,38,15,28,61,17,0,26,19,7,71
Bocks,Doppelbock,Duck-Rabbator,The Duck-Rabbit Craft Brewery,United States,8.5,3.99,160,190,Active,Duck-Rabbator The Duck-Rabbit Craft Brewery,10,44,35,57,88,21,0,51,38,21,136
Bocks,Doppelbock,Troegenator - Bourbon Barrel-Aged,Tröegs Brewing Company,United States,11.5,4.15,87,250,Active,Troegenator - Bourbon Barrel-Aged Tröegs Brewing Company,9,57,26,22,81,20,0,48,16,15,97
Bocks,Doppelbock,Ettaler Curator Dunkler Doppelbock (US Import Version),Klosterbrauerei Ettal,Germany,9,3.92,222,114,Active,Ettaler Curator Dunkler Doppelbock (US Import Version) Klosterbrauerei Ettal,8,48,67,10,69,13,1,41,6,19,123
Bocks,Doppelbock,Blonde Doppelbock,Capital Brewery,United States,7.8,3.86,193,103,Active,Blonde Doppelbock Capital Brewery,17,47,22,19,108,31,0,75,22,7,101
Bocks,Doppelbock,Snow Blind Doppelbock,Starr Hill Brewery,United States,7.7,3.65,60,224,Active,Snow Blind Doppelbock Starr Hill Brewery,6,77,42,37,89,28,0,44,39,9,117
Bocks,Doppelbock,Tucher Bajuvator Doppelbock,Brauerei Tucher Brau,Germany,7.2,4.09,197,73,Active,Tucher Bajuvator Doppelbock Brauerei Tucher Brau,4,36,10,16,47,10,0,21,7,6,58
Bocks,Doppelbock,Doppelbock Dunkel,Brauerei Schloss Eggenberg,Austria,8.5,3.71,161,107,Active,Doppelbock Dunkel Brauerei Schloss Eggenberg,13,65,28,40,118,38,0,61,35,4,135
Bocks,Doppelbock,Dark Heathen Triple Bock,Kuhnhenn Brewing Company,United States,12.5,3.86,91,175,Active,Dark Heathen Triple Bock Kuhnhenn Brewing Company,3,35,34,26,62,16,0,35,18,4,67
